,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,Chi0,Chi0n,Chi1,PEOE_VSA1,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA5,SMR_VSA6,SMR_VSA7,SlogP_VSA2,SlogP_VSA5,SlogP_VSA6,TPSA,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA8
MaxPartialCharge,1.0,-0.05145070326091978,0.09045727944691356,0.981908302326716,-0.035110673715657306,0.0812652648895558,0.06910727821774239,0.047655841130646664,-0.07005079168554372,0.019487815879365714,-0.24548579267598616,0.044796466124702776,-0.035184398864493954,0.08539183552923814,0.0166606776596572,0.033285320672462385,0.15730959596694102,-0.13165760062703738,-0.06141535803627041,0.022783630052357076,0.3276761738399601,0.003160602908946549,-0.09689494605371989,0.010026718360230386,-0.04842839765854674,0.11336026706326476,-0.12845899550956227,-0.02507483192870977,0.2780376695852345,0.10778397183809954,0.2575026171658192,-0.15390856324065633,-0.2697755740574558,-0.252877102127056
MinPartialCharge,-0.05145070326091978,1.0,-0.9943622544413838,-0.06931322480875168,-0.6789032257007004,-0.18338349554924718,-0.254454988798569,0.20446695681738952,0.748819290602704,0.02458548267787853,0.597443991105144,0.12036213846620374,0.5998156124525204,0.029981047112236738,0.005963234280542906,0.04836450822110424,-0.6765534776129014,0.19464576270639786,0.06238855220485332,-0.19005175169051364,-0.7091401540617361,0.10945351608565275,0.09705068898228965,0.04660950434938093,-0.02112953139932569,0.10297305968244666,0.11120271948113772,-0.06001862382032939,0.09018241861455155,-0.36625995227441077,0.03050322394244136,0.09121251273869056,0.06414156789630875,-0.07209632900561647
MaxAbsPartialCharge,0.09045727944691356,-0.9943622544413838,1.0,0.08904189464400315,0.6774183898921976,0.19375967738935299,0.26518790268561715,-0.20759905905222686,-0.7460993606221094,-0.019633284181145388,-0.6095100081065149,-0.1312698202138153,-0.6018425348604333,-0.03721815868838538,-0.016454902735452907,-0.058201953649253284,0.6731980758547801,-0.20761483364881336,-0.0718232602477524,0.1865064723260743,0.7180395590277967,-0.11119668132943085,-0.10541422019704083,-0.05755883812341227,0.013694115221624253,-0.11199901857503339,-0.1225331093358473,0.05592667945244055,-0.10141674529016888,0.3606066002689525,-0.039049703572023066,-0.10322489186543957,-0.06623842977459342,0.07103757999796322
MinAbsPartialCharge,0.981908302326716,-0.06931322480875168,0.08904189464400315,1.0,-0.030928507637660908,0.06785273665635945,0.05570822231611,0.05385645719770831,-0.08180264117256074,0.010345616215766898,-0.23759888555296493,0.06557385029104355,-0.03529876817352574,0.1024985765886942,0.036218417607967436,0.05223919636381886,0.1755336002314506,-0.11645551601161028,-0.04849352517782341,0.031109618967727314,0.3328055412130524,0.005229700882952252,-0.08764049415706787,0.03024848806442182,-0.0375035984494737,0.13533880764774642,-0.1155833137130736,-0.01896760079193346,0.3137225153335385,0.12613951783307367,0.2876459685436038,-0.14139023716869947,-0.28196198204145356,-0.2649222069684314
BCUT2D_MWHI,-0.035110673715657306,-0.6789032257007004,0.6774183898921976,-0.030928507637660908,1.0,0.15836699616507116,0.19601861800520487,-0.13423862107905085,-0.6115096724160844,0.39229944030074576,-0.4324406276412633,-0.080471167469283,-0.5327105036040556,-0.0603958881948633,-0.05184622557578314,-0.06700582834418711,0.4372978290796507,-0.1562003045984508,0.05631160883250703,0.08071352563166564,0.46708976759068105,0.22960554715376733,-0.13721524780472094,-0.08752812854160795,0.051702379331387355,-0.1424996248635135,-0.12730063845075915,0.06442198627581765,-0.1646394740063579,0.3543022032222119,-0.07238539503929385,-0.08446222910769394,-0.034062174379573644,0.134388354158933
BCUT2D_MWLOW,0.0812652648895558,-0.18338349554924718,0.19375967738935299,0.06785273665635945,0.15836699616507116,1.0,0.7601749838528102,-0.8145510045868194,0.12317872842427244,0.08360289531177241,0.017444710193877663,-0.3490447641267827,-0.049271517241124066,-0.37341133379202807,-0.40090918006759746,-0.36003837202810485,0.04089249244758113,-0.45892091690512665,-0.2055446771736381,-0.04576274207797132,0.021295573514806623,-0.04506004674053044,-0.5219938255660994,0.05506221072901285,-0.08299397951918608,-0.10694852475769692,-0.5315460976721003,0.02420638550883269,-0.184462443075206,-0.29742273787816387,-0.21340618590045166,-0.15312261799720958,-0.13885341818446156,-0.09197286000910877
BCUT2D_CHGLO,0.06910727821774239,-0.254454988798569,0.26518790268561715,0.05570822231611,0.19601861800520487,0.7601749838528102,1.0,-0.660108111885525,0.20842415911851422,0.04775436030397667,0.022368302877351396,-0.2750006224670122,-0.09622669594242726,-0.34501583583141665,-0.3754916365779245,-0.32532272193598205,0.06868996528830443,-0.3918782089913704,-0.23159879389865418,-0.13701366436831675,0.0859978333737049,0.03747208776856935,-0.41818600620114416,-0.2579159762874298,0.008315961859317858,-0.4045188733696499,-0.4004105245931201,0.06786515494224171,-0.13214598830225655,-0.20295429737981086,-0.22431691328340883,-0.19850599842139846,-0.0629680664239648,-0.12806591376776338
BCUT2D_LOGPHI,0.047655841130646664,0.20446695681738952,-0.20759905905222686,0.05385645719770831,-0.13423862107905085,-0.8145510045868194,-0.660108111885525,1.0,-0.016238408303112357,0.05968243922865921,0.03566616939686491,0.4139318201402326,0.1476081226307349,0.3355711752763905,0.3347664673000221,0.3154737859221975,-0.025069188020470076,0.3576751086104823,0.15006126813656415,0.18903922983062027,0.012392047775228369,0.11677466025379331,0.3719551027535524,-0.012471652892599648,0.027871718774565603,0.10595264972725688,0.37108887843502036,-0.0678412755735424,0.22292832989223305,0.25944707642275705,0.27203880512327616,0.07187482072838933,0.038709241728008506,-0.0346590429937655
BCUT2D_LOGPLOW,-0.07005079168554372,0.748819290602704,-0.7460993606221094,-0.08180264117256074,-0.6115096724160844,0.12317872842427244,0.20842415911851422,-0.016238408303112357,1.0,0.001105185546845217,0.6883077063160071,-0.025799651844261015,0.5522570032765383,-0.062508168760941,-0.09358318318933745,-0.03759812833840947,-0.5147097903319309,0.1299581797255262,-0.0960358867755569,-0.1015937943936633,-0.6071683607155317,0.10042675131062755,-0.035241492437983316,-0.040578876122432724,-0.014050512736757734,-0.11651764057435314,0.009107098718280903,-0.0452959440326977,0.08947538434084254,-0.4808689907980219,-0.035588395161930866,0.09468479362315356,0.08515612424951924,-0.16083473998123327
BCUT2D_MRHI,0.019487815879365714,0.02458548267787853,-0.019633284181145388,0.010345616215766898,0.39229944030074576,0.08360289531177241,0.04775436030397667,0.05968243922865921,0.001105185546845217,1.0,-0.04504161994136477,0.08833811675420448,-0.00659078541631191,0.039849414457305006,-0.010954281923522881,0.02642302399774588,-0.09139659431476994,-0.015103780529373898,0.03119613727012524,0.10882288105539416,0.01749038853358663,0.43091860021961653,-0.11778391756550735,0.015231662045760364,0.007666436083404683,0.052734990164730114,-0.10223355892627167,0.01952267705552939,0.07810985596953342,0.005053931681678826,0.030404782833808076,-0.011771726295362996,-0.04791671277843955,-0.007722724527373186
