# Tuning hyper-parameters for precision

Best parameters set found on development set:
{'criterion': 'gini', 'max_depth': 21, 'n_estimators': 50}
----------
Grid scores on development set:
0.693 (+/-0.017) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 50}
0.697 (+/-0.032) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 100}
0.697 (+/-0.025) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 150}
0.698 (+/-0.031) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 200}
0.699 (+/-0.028) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 250}
0.699 (+/-0.029) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 300}
0.699 (+/-0.031) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 400}
0.700 (+/-0.030) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 500}
0.776 (+/-0.045) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 50}
0.775 (+/-0.046) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 100}
0.780 (+/-0.049) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 150}
0.778 (+/-0.046) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 200}
0.778 (+/-0.044) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 250}
0.776 (+/-0.047) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 300}
0.778 (+/-0.045) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 400}
0.780 (+/-0.049) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 500}
0.821 (+/-0.030) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 50}
0.824 (+/-0.026) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 100}
0.828 (+/-0.029) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 150}
0.830 (+/-0.029) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 200}
0.830 (+/-0.027) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 250}
0.828 (+/-0.029) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 300}
0.829 (+/-0.029) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 400}
0.829 (+/-0.029) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 500}
0.847 (+/-0.021) for {'criterion': 'entropy', 'max_depth': 12, 'n_estimators': 50}
0.851 (+/-0.026) for {'criterion': 'entropy', 'max_depth': 12, 'n_estimators': 100}
0.852 (+/-0.031) for {'criterion': 'entropy', 'max_depth': 12, 'n_estimators': 150}
0.851 (+/-0.034) for {'criterion': 'entropy', 'max_depth': 12, 'n_estimators': 200}
0.852 (+/-0.035) for {'criterion': 'entropy', 'max_depth': 12, 'n_estimators': 250}
0.852 (+/-0.032) for {'criterion': 'entropy', 'max_depth': 12, 'n_estimators': 300}
0.851 (+/-0.035) for {'criterion': 'entropy', 'max_depth': 12, 'n_estimators': 400}
0.853 (+/-0.033) for {'criterion': 'entropy', 'max_depth': 12, 'n_estimators': 500}
0.856 (+/-0.039) for {'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 50}
0.856 (+/-0.034) for {'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 100}
0.860 (+/-0.034) for {'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 150}
0.857 (+/-0.031) for {'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 200}
0.859 (+/-0.031) for {'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 250}
0.859 (+/-0.032) for {'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 300}
0.859 (+/-0.033) for {'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 400}
0.861 (+/-0.036) for {'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 500}
0.863 (+/-0.031) for {'criterion': 'entropy', 'max_depth': 18, 'n_estimators': 50}
0.868 (+/-0.029) for {'criterion': 'entropy', 'max_depth': 18, 'n_estimators': 100}
0.866 (+/-0.030) for {'criterion': 'entropy', 'max_depth': 18, 'n_estimators': 150}
0.866 (+/-0.033) for {'criterion': 'entropy', 'max_depth': 18, 'n_estimators': 200}
0.869 (+/-0.033) for {'criterion': 'entropy', 'max_depth': 18, 'n_estimators': 250}
0.869 (+/-0.034) for {'criterion': 'entropy', 'max_depth': 18, 'n_estimators': 300}
0.868 (+/-0.035) for {'criterion': 'entropy', 'max_depth': 18, 'n_estimators': 400}
0.870 (+/-0.038) for {'criterion': 'entropy', 'max_depth': 18, 'n_estimators': 500}
0.869 (+/-0.035) for {'criterion': 'entropy', 'max_depth': 21, 'n_estimators': 50}
0.867 (+/-0.038) for {'criterion': 'entropy', 'max_depth': 21, 'n_estimators': 100}
0.869 (+/-0.035) for {'criterion': 'entropy', 'max_depth': 21, 'n_estimators': 150}
0.871 (+/-0.039) for {'criterion': 'entropy', 'max_depth': 21, 'n_estimators': 200}
0.871 (+/-0.034) for {'criterion': 'entropy', 'max_depth': 21, 'n_estimators': 250}
0.871 (+/-0.037) for {'criterion': 'entropy', 'max_depth': 21, 'n_estimators': 300}
