# Tuning hyper-parameters for precision

Best parameters set found on development set:
{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200}
----------
Grid scores on development set:
0.748 (+/-0.033) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50}
0.769 (+/-0.037) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}
0.800 (+/-0.038) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}
0.807 (+/-0.039) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 250}
0.815 (+/-0.037) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300}
0.824 (+/-0.038) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 400}
0.831 (+/-0.038) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500}
0.808 (+/-0.052) for {'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 50}
0.836 (+/-0.045) for {'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100}
0.853 (+/-0.028) for {'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 200}
0.855 (+/-0.030) for {'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 250}
0.857 (+/-0.026) for {'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 300}
0.864 (+/-0.027) for {'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 400}
0.865 (+/-0.027) for {'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 500}
0.830 (+/-0.048) for {'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 50}
0.847 (+/-0.044) for {'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 100}
0.864 (+/-0.036) for {'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 200}
0.870 (+/-0.039) for {'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 250}
0.872 (+/-0.040) for {'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 300}
0.873 (+/-0.033) for {'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 400}
0.876 (+/-0.034) for {'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 500}
0.830 (+/-0.029) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}
0.852 (+/-0.034) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}
0.862 (+/-0.031) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}
0.865 (+/-0.032) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 250}
0.865 (+/-0.029) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300}
0.871 (+/-0.034) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 400}
0.875 (+/-0.032) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500}
0.867 (+/-0.035) for {'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 50}
0.874 (+/-0.039) for {'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100}
0.879 (+/-0.032) for {'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200}
0.877 (+/-0.029) for {'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 250}
0.877 (+/-0.028) for {'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 300}
0.877 (+/-0.030) for {'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 400}
0.876 (+/-0.033) for {'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 500}
0.875 (+/-0.035) for {'learning_rate': 0.1, 'max_depth': 15, 'n_estimators': 50}
0.876 (+/-0.037) for {'learning_rate': 0.1, 'max_depth': 15, 'n_estimators': 100}
0.877 (+/-0.042) for {'learning_rate': 0.1, 'max_depth': 15, 'n_estimators': 200}
0.878 (+/-0.045) for {'learning_rate': 0.1, 'max_depth': 15, 'n_estimators': 250}
0.875 (+/-0.043) for {'learning_rate': 0.1, 'max_depth': 15, 'n_estimators': 300}
0.874 (+/-0.042) for {'learning_rate': 0.1, 'max_depth': 15, 'n_estimators': 400}
0.876 (+/-0.042) for {'learning_rate': 0.1, 'max_depth': 15, 'n_estimators': 500}
0.855 (+/-0.029) for {'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 50}
0.863 (+/-0.028) for {'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 100}
0.870 (+/-0.033) for {'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 200}
0.868 (+/-0.037) for {'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 250}
0.871 (+/-0.038) for {'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 300}
0.871 (+/-0.036) for {'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 400}
0.871 (+/-0.034) for {'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 500}
0.871 (+/-0.025) for {'learning_rate': 0.5, 'max_depth': 10, 'n_estimators': 50}
0.877 (+/-0.029) for {'learning_rate': 0.5, 'max_depth': 10, 'n_estimators': 100}
0.876 (+/-0.030) for {'learning_rate': 0.5, 'max_depth': 10, 'n_estimators': 200}
0.877 (+/-0.033) for {'learning_rate': 0.5, 'max_depth': 10, 'n_estimators': 250}
